,offertimes,avg_mdm_loss,avg_mdm_loss_se,mdm_runtime,avg_rum_loss,avg_rum_loss_se,rum_runtime,avg_mnl_loss,avg_mnl_loss_se,mnl_runtime,avg_mccm_loss,avg_mccm_loss_se,mccm_runtime,avg_lcmnl_loss,avg_lcmnl_loss_se,lcmnl_runtime
0,20,0.005323763,0.000164298,25.66205499,0.004769106,0.000171213,5395.049991,0.036692951,0.000591698,0.264386148,0.005876574,0.000168568,968.4496324,0.008848307,0.000302237,2061.637942
1,30,0.004261144,0.000161198,3.627035885,0.0037325,0.00016332,5301.423036,0.033937329,0.000554689,0.240225129,0.004663902,0.000164076,1065.449358,0.00731426,0.000275784,2024.746183
2,40,0.003187343,0.000159538,0.802010093,0.002756066,0.000153141,3703.925786,0.030499796,0.000503971,0.248979721,0.003281848,0.000152619,579.5477853,0.005732135,0.000296074,2145.736397
3,50,0.002211214,0.000136585,0.189040079,0.001892434,0.000126542,3395.35266,0.026449393,0.000503709,0.28856823,0.002176468,0.000132629,542.1396153,0.004598544,0.000496831,2032.44239
4,60,0.001830375,0.000128905,0.089077611,0.001540145,0.000122949,3191.300611,0.023513815,0.000477422,0.316494508,0.001647335,0.00012682,416.3552315,0.003724565,0.0004456,1663.410437
,,MDM,,,RUM,,,MNL,,,MCCM,,,LC-MNL,,
,,loss,se,time,loss,se,time,loss,se,time,loss,se,time,loss,se,time
0,20,5.32,0.16,25.66,4.77,0.17,5395.05,36.69,0.59,0.26,5.88,0.17,968.45,8.85,0.30,2061.64
1,30,4.26,0.16,3.63,3.73,0.16,5301.42,33.94,0.55,0.24,4.66,0.16,1065.45,7.31,0.28,2024.75
2,40,3.19,0.16,0.80,2.76,0.15,3703.93,30.50,0.50,0.25,3.28,0.15,579.55,5.73,0.30,2145.74
3,50,2.21,0.14,0.19,1.89,0.13,3395.35,26.45,0.50,0.29,2.18,0.13,542.14,4.60,0.50,2032.44
4,60,1.83,0.13,0.09,1.54,0.12,3191.30,23.51,0.48,0.32,1.65,0.13,416.36,3.72,0.45,1663.41